Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
3,0.1,Normal,Drone 0,Success,1.3754,2049.8823,3.8863,3794.6,37.1,0,98.45
3,0.1,Normal,Drone 1,Success,1.339,1607.451,4.0056,2608.77,25.4,0,98.45
3,0.1,Normal,Drone 2,Success,1.1357,1644.8853,3.6369,2977.71,28.9,0,98.45
3,0.1,Normal,Drone 3,Success,1.2246,1803.3427,4.0045,3405.41,33.3,0,98.45
3,0.1,Normal,Drone 4,Success,1.3883,1663.7515,4.0015,2932.16,28.65,0,98.45
3,0.1,Early,Drone 0,Success,2.0132,2079.3926,3.8978,3319.62,32.2,0,97.87
3,0.1,Early,Drone 1,Success,2.0283,1609.9292,4.0174,3264.12,22.8,0,97.87
3,0.1,Early,Drone 2,Success,1.665,1543.4916,3.6545,3292.38,25.1,0,97.87
3,0.1,Early,Drone 3,Success,1.8504,1752.4774,4.015,3296.77,28.3,0,97.87
3,0.1,Early,Drone 4,Success,2.1051,1565.7973,4.0065,3267.13,24.65,0,97.87
27,0.1,Normal,Drone 0,Success,1.4818,1952.7726,3.8057,3161.14,30.6,0,98.82
27,0.1,Normal,Drone 1,Success,1.0062,1320.039,4.0099,2901.75,28.25,0,98.82
27,0.1,Normal,Drone 2,Success,1.4245,1906.5792,3.7049,3470.0,34.05,0,98.82
27,0.1,Normal,Drone 3,Success,1.2818,1485.7399,3.9386,3364.08,32.7,0,98.82
27,0.1,Normal,Drone 4,Success,1.5288,2194.9894,3.9577,3450.51,33.5,0,98.82
27,0.1,Early,Drone 0,Success,2.1626,1972.2323,3.8135,3082.07,26.65,0,98.63
27,0.1,Early,Drone 1,Success,1.6596,1319.7322,4.0252,3055.21,24.7,0,98.63
27,0.1,Early,Drone 2,Success,2.0609,1927.6219,3.7025,3061.6,29.0,0,98.63
27,0.1,Early,Drone 3,Success,1.8388,1520.3706,3.9521,3087.91,29.9,0,98.63
27,0.1,Early,Drone 4,Success,2.1566,2182.2988,3.9649,3098.75,28.65,0,98.63
51,0.1,Normal,Drone 0,Success,1.1602,1578.0051,4.0027,3335.86,32.55,0,97.24
51,0.1,Normal,Drone 1,Success,1.1778,1678.2905,4.0047,2709.19,26.3,0,97.24
51,0.1,Normal,Drone 2,Success,1.547,2648.7314,3.9174,4075.88,39.8,0,97.24
51,0.1,Normal,Drone 3,Success,1.5351,1772.3039,3.7098,2858.56,27.9,0,97.24
51,0.1,Normal,Drone 4,Success,1.0867,1501.4277,4.0028,2841.62,27.6,0,97.24
51,0.1,Early,Drone 0,Success,1.7065,1640.6991,4.0108,3451.74,29.1,0,96.47
