Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct, Solve_Time
3,0.3,Normal,Drone 0,Success,1.3483,8736.7771,0.2602,3343.88,32.75,0,99.69,0.016039
3,0.3,Normal,Drone 1,Success,1.1974,6777.8085,0.2168,4423.45,43.5,0,99.69,0.016039
3,0.3,Normal,Drone 2,Success,1.0092,5902.6725,0.2705,4428.46,43.3,0,99.69,0.016039
3,0.3,Normal,Drone 3,Success,1.3198,5502.7347,0.2177,3509.23,34.35,0,99.69,0.016039
3,0.3,Normal,Drone 4,Success,1.1871,4916.792,0.2367,3374.31,32.8,0,99.69,0.016039
3,0.3,Early,Drone 0,Success,2.0372,7904.8674,0.3437,3859.54,30.6,0,99.5,0.018308
3,0.3,Early,Drone 1,Success,1.8275,5253.5017,0.335,3888.14,37.75,0,99.5,0.018308
3,0.3,Early,Drone 2,Success,1.7524,6720.5408,0.4027,3927.88,38.1,0,99.5,0.018308
3,0.3,Early,Drone 3,Success,2.0005,4930.4099,0.3527,3858.84,30.0,0,99.5,0.018308
3,0.3,Early,Drone 4,Success,1.8015,6116.1292,0.4271,3876.82,29.95,0,99.5,0.018308
27,0.3,Normal,Drone 0,Success,1.219,10280.5297,0.2406,3982.62,38.65,0,99.73,0.018913
27,0.3,Normal,Drone 1,Success,1.3312,10225.1849,0.2653,3732.31,36.5,0,99.73,0.018913
27,0.3,Normal,Drone 2,Success,1.4158,4526.6791,0.1943,3599.76,35.4,0,99.73,0.018913
27,0.3,Normal,Drone 3,Success,1.2585,6548.2212,0.1831,3197.97,31.45,0,99.73,0.018913
27,0.3,Normal,Drone 4,Success,1.1058,11721.9345,0.2321,4612.0,44.85,0,99.73,0.018913
27,0.3,Early,Drone 0,Success,1.8884,8570.129,0.3677,4195.84,34.75,0,99.37,0.019405
27,0.3,Early,Drone 1,Success,1.9911,9459.3068,0.3769,4161.94,32.6,0,99.37,0.019405
27,0.3,Early,Drone 2,Success,2.1384,3534.18,0.2969,4126.37,30.75,0,99.37,0.019405
27,0.3,Early,Drone 3,Success,1.9673,5169.954,0.3127,4104.51,26.85,0,99.37,0.019405
27,0.3,Early,Drone 4,Success,1.7009,10518.7303,0.3963,4233.88,41.0,0,99.37,0.019405
51,0.3,Normal,Drone 0,Success,1.1328,7103.0271,0.2262,3486.87,34.05,0,99.25,0.0139
51,0.3,Normal,Drone 1,Success,1.234,5743.1956,0.2036,4001.04,39.35,0,99.25,0.0139
51,0.3,Normal,Drone 2,Success,1.3002,6788.9253,0.1868,4104.96,40.25,0,99.25,0.0139
51,0.3,Normal,Drone 3,Success,1.4719,4347.4831,0.1782,3198.13,31.4,0,99.25,0.0139
51,0.3,Normal,Drone 4,Success,1.2633,7591.5985,0.2359,3695.83,36.15,0,99.25,0.0139
51,0.3,Early,Drone 0,Success,1.7516,7614.4846,0.4002,3659.07,30.2,0,99.02,0.016133
51,0.3,Early,Drone 1,Success,1.8676,6576.8158,0.3121,3663.87,35.85,0,99.02,0.016133
51,0.3,Early,Drone 2,Success,2.006,5327.4938,0.3165,3670.93,35.25,0,99.02,0.016133
51,0.3,Early,Drone 3,Success,2.1909,6307.47,0.2595,3614.35,27.0,0,99.02,0.016133
51,0.3,Early,Drone 4,Success,2.0907,7485.2958,0.3441,3657.38,32.5,0,99.02,0.016133
13,0.3,Normal,Drone 0,Success,1.5638,9354.4103,0.2085,4450.16,43.55,0,99.78,0.016463
13,0.3,Normal,Drone 1,Success,1.2663,5981.3931,0.209,3858.84,37.9,0,99.78,0.016463
13,0.3,Normal,Drone 2,Success,1.2435,6491.8935,0.2781,3421.72,33.35,0,99.78,0.016463
13,0.3,Normal,Drone 3,Success,1.1427,4179.6339,0.2356,4028.42,39.4,0,99.78,0.016463
13,0.3,Normal,Drone 4,Success,1.217,8582.8763,0.2462,3219.06,31.4,0,99.78,0.016463
13,0.3,Early,Drone 0,Success,2.3389,9925.9077,0.3662,4016.64,39.05,0,99.68,0.018599
13,0.3,Early,Drone 1,Success,1.9634,7300.6094,0.3842,3965.7,33.5,0,99.68,0.018599
13,0.3,Early,Drone 2,Success,1.7602,7822.1889,0.4916,3964.72,30.0,0,99.68,0.018599
13,0.3,Early,Drone 3,Success,1.7388,5153.3391,0.3967,3990.69,35.45,0,99.68,0.018599
13,0.3,Early,Drone 4,Success,1.8196,7242.7606,0.3834,3951.06,28.65,0,99.68,0.018599
93,0.3,Normal,Drone 0,Success,1.0629,10313.0416,0.2839,4829.82,47.25,0,98.48,0.015714
93,0.3,Normal,Drone 1,Success,1.5375,4406.1987,0.2252,3243.42,31.8,0,98.48,0.015714
93,0.3,Normal,Drone 2,Success,1.2067,3418.8017,0.2091,2713.91,26.65,0,98.48,0.015714
93,0.3,Normal,Drone 3,Success,1.2859,4639.4834,0.2209,3587.24,35.15,0,98.48,0.015714
93,0.3,Normal,Drone 4,Success,1.1964,5461.8702,0.2436,4223.82,41.4,0,98.48,0.015714
93,0.3,Early,Drone 0,Success,1.6622,13581.6132,0.4275,4408.34,42.9,0,98.31,0.018273
93,0.3,Early,Drone 1,Success,2.1881,5452.868,0.3967,4309.49,27.3,0,98.31,0.018273
93,0.3,Early,Drone 2,Success,1.9346,4162.0397,0.4016,4275.61,23.25,0,98.31,0.018273
93,0.3,Early,Drone 3,Success,2.0335,5177.2864,0.3205,4332.31,31.2,0,98.31,0.018273
93,0.3,Early,Drone 4,Success,1.9411,7329.4086,0.3905,4357.92,35.8,0,98.31,0.018273
42,0.3,Normal,Drone 0,Success,1.2679,5744.8111,0.2562,4098.75,40.3,0,99.32,0.015892
42,0.3,Normal,Drone 1,Success,1.2587,6041.9281,0.2226,4002.82,39.25,0,99.32,0.015892
42,0.3,Normal,Drone 2,Success,1.1691,6143.8635,0.2306,3965.15,38.75,0,99.32,0.015892
42,0.3,Normal,Drone 3,Success,1.4122,9924.51,0.219,3589.81,34.9,0,99.32,0.015892
42,0.3,Normal,Drone 4,Success,1.2418,6390.1916,0.2365,3193.53,31.25,0,99.32,0.015892
42,0.3,Early,Drone 0,Success,1.927,4381.169,0.4369,3484.32,34.05,0,98.93,0.017211
42,0.3,Early,Drone 1,Success,1.9179,5697.2286,0.3546,3492.74,33.9,0,98.93,0.017211
42,0.3,Early,Drone 2,Success,1.8994,5966.0646,0.3811,3506.23,33.85,0,98.93,0.017211
