Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
3,0.3,Normal,Drone 0,Success,1.3659,1665.3964,3.5655,3095.02,30.3,0,99.61
3,0.3,Normal,Drone 1,Success,1.3236,2247.0394,3.8814,4344.91,42.85,0,99.61
3,0.3,Normal,Drone 2,Success,1.6274,2215.7193,3.7648,4274.67,41.8,0,99.61
3,0.3,Normal,Drone 3,Success,1.4727,1719.0882,4.0104,3428.6,33.7,0,99.61
3,0.3,Normal,Drone 4,Success,1.3836,1658.6443,3.9126,3246.66,31.6,0,99.61
3,0.3,Early,Drone 0,Success,1.8667,1599.4684,3.6358,3671.22,25.7,0,99.46
3,0.3,Early,Drone 1,Success,1.9292,2149.2664,3.9291,3708.15,35.15,0,99.46
3,0.3,Early,Drone 2,Success,2.1865,2169.3295,4.0305,3740.97,36.3,0,99.46
3,0.3,Early,Drone 3,Success,2.1351,1758.9414,3.998,3669.61,27.45,0,99.46
3,0.3,Early,Drone 4,Success,1.905,1573.8148,3.9118,3695.65,27.8,0,99.46
27,0.3,Normal,Drone 0,Success,1.3646,2296.1441,3.9044,3838.01,37.3,0,99.66
27,0.3,Normal,Drone 1,Success,1.2092,1975.1763,3.649,3643.47,35.7,0,99.66
27,0.3,Normal,Drone 2,Success,1.5116,2284.3327,3.9894,3669.0,36.15,0,99.66
27,0.3,Normal,Drone 3,Success,1.2739,1614.6481,3.8499,2982.9,29.4,0,99.66
27,0.3,Normal,Drone 4,Success,1.3335,2380.8459,3.8948,4345.98,42.35,0,99.66
27,0.3,Early,Drone 0,Success,1.9946,2356.6331,3.8944,3842.9,32.05,0,99.32
27,0.3,Early,Drone 1,Success,1.7885,1934.1607,3.6437,3808.25,30.05,0,99.32
27,0.3,Early,Drone 2,Success,2.1459,2318.0081,3.9859,3780.67,29.2,0,99.32
27,0.3,Early,Drone 3,Success,1.9471,1630.7282,4.0854,3748.68,24.2,0,99.32
27,0.3,Early,Drone 4,Success,1.9183,2529.0121,3.8386,3867.7,37.45,0,99.32
51,0.3,Normal,Drone 0,Success,1.0557,1464.6771,3.8812,3306.26,32.35,0,99.22
51,0.3,Normal,Drone 1,Success,1.1544,1913.4034,4.1062,3953.59,38.9,0,99.22
51,0.3,Normal,Drone 2,Success,1.4261,2398.8138,3.848,4068.13,39.9,0,99.22
51,0.3,Normal,Drone 3,Success,1.4585,1937.8864,3.6191,3116.84,30.65,0,99.22
51,0.3,Normal,Drone 4,Success,1.5649,2057.6143,3.9911,3603.94,35.25,0,99.22
51,0.3,Early,Drone 0,Success,1.726,1497.1829,4.0202,3426.27,28.05,0,99.08
51,0.3,Early,Drone 1,Success,1.7859,1776.8963,4.0745,3438.81,33.2,0,99.08
51,0.3,Early,Drone 2,Success,2.0371,2357.4629,3.9778,3447.59,33.6,0,99.08
51,0.3,Early,Drone 3,Success,1.9814,1912.709,3.6068,3389.81,25.45,0,99.08
51,0.3,Early,Drone 4,Success,2.2454,2063.6275,3.9943,3435.45,30.55,0,99.08
13,0.3,Normal,Drone 0,Success,1.3803,2602.4042,3.8433,4500.89,44.05,0,83.87
13,0.3,Normal,Drone 1,Stuck,0.0,0.0,16.6322,9628.42,100.05,0,83.87
13,0.3,Normal,Drone 2,Success,1.3082,1784.6664,3.6277,3275.76,31.95,0,83.87
13,0.3,Normal,Drone 3,Success,1.1378,1952.3189,3.8789,3937.42,38.55,0,83.87
13,0.3,Normal,Drone 4,Success,1.1516,1556.2221,4.0281,3212.44,31.5,0,83.87
13,0.3,Early,Drone 0,Success,2.2291,2534.0351,4.0325,3677.23,35.7,0,99.62
13,0.3,Early,Drone 1,Success,2.1264,2125.2958,3.8933,3624.68,30.4,0,99.62
13,0.3,Early,Drone 2,Success,1.8138,1881.9814,3.7069,3637.56,28.05,0,99.62
13,0.3,Early,Drone 3,Success,1.8024,1934.8115,4.038,3654.05,33.5,0,99.62
13,0.3,Early,Drone 4,Success,1.7813,1558.9304,3.9286,3612.92,27.2,0,99.62
93,0.3,Normal,Drone 0,Success,1.2344,2373.5882,3.763,4606.57,45.25,0,98.34
93,0.3,Normal,Drone 1,Success,1.3543,2037.5515,3.7007,3203.32,31.4,0,98.34
93,0.3,Normal,Drone 2,Success,1.2731,1272.7363,4.1305,2649.54,26.0,0,98.34
93,0.3,Normal,Drone 3,Success,1.2391,2041.1064,3.8817,3583.36,35.15,0,98.34
93,0.3,Normal,Drone 4,Success,1.3905,2357.9021,3.9773,4110.66,40.25,0,98.34
93,0.3,Early,Drone 0,Success,1.8491,2331.7116,4.0139,3888.9,37.8,0,98.22
93,0.3,Early,Drone 1,Success,1.962,2091.5342,3.6799,3811.02,25.4,0,98.22
93,0.3,Early,Drone 2,Success,1.8731,1339.5137,4.0391,3782.11,21.9,0,98.22
