Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
76,0.3,Normal,Drone 0,Success,1.7227,2059.8099,3.9586,4147.05,40.85,0,99.18
76,0.3,Normal,Drone 1,Success,1.194,1715.3295,3.682,3503.73,34.5,0,99.18
76,0.3,Normal,Drone 2,Success,1.6178,1871.4378,3.9071,3209.32,31.4,0,99.18
76,0.3,Normal,Drone 3,Success,1.3169,1689.8907,4.0024,3065.28,30.1,0,99.18
76,0.3,Normal,Drone 4,Success,1.4972,2179.6038,3.7242,4066.22,39.75,0,99.18
76,0.3,Early,Drone 0,Success,2.2961,2050.254,3.9645,3533.63,34.6,0,99.08
76,0.3,Early,Drone 1,Success,1.6814,1826.7143,3.6928,3509.65,29.3,0,99.08
76,0.3,Early,Drone 2,Success,2.2726,1892.8291,3.915,3506.57,26.55,0,99.08
76,0.3,Early,Drone 3,Success,1.9797,1738.7139,4.0108,3491.87,25.1,0,99.08
76,0.3,Early,Drone 4,Success,1.8706,2030.3249,3.6979,3569.97,33.5,0,99.08
