Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct,Solve_Time
69,0.3,Normal,Drone 0,Success,1.3148,1791.8456,0.1839,3331.08,32.7,0,99.28,0.021814
69,0.3,Normal,Drone 1,Success,1.3016,2296.5963,0.2074,4052.39,39.7,0,99.28,0.021814
69,0.3,Normal,Drone 2,Success,1.0255,1629.1997,0.2613,3469.78,33.9,0,99.28,0.021814
69,0.3,Normal,Drone 3,Success,1.3045,2327.2666,0.2109,4447.38,43.75,0,99.28,0.021814
69,0.3,Normal,Drone 4,Success,1.3057,2202.8561,0.2319,3756.41,36.65,0,99.28,0.021814
69,0.3,Early,Drone 0,Success,2.0912,1735.7022,0.2935,3906.69,28.4,0,99.25,0.025455
69,0.3,Early,Drone 1,Success,2.0033,2199.2653,0.3041,3956.25,35.3,0,99.25,0.025455
69,0.3,Early,Drone 2,Success,1.6071,1743.3902,0.437,3938.66,30.45,0,99.25,0.025455
69,0.3,Early,Drone 3,Success,2.0131,2290.582,0.3358,3958.23,38.8,0,99.25,0.025455
69,0.3,Early,Drone 4,Success,2.0366,2203.4215,0.3327,3957.32,33.1,0,99.25,0.025455
