Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct,Solve_Time
69,0.3,Normal,Drone 0,Success,1.3792,12863.7965,0.202,3595.92,35.2,0,99.4,0.041936
69,0.3,Normal,Drone 1,Success,1.3878,9876.3009,0.2285,4213.42,41.1,0,99.4,0.041936
69,0.3,Normal,Drone 2,Success,1.112,26737.8043,0.2428,4094.65,39.8,0,99.4,0.041936
69,0.3,Normal,Drone 3,Success,1.238,13788.5322,0.2208,5061.53,49.75,0,99.4,0.041936
69,0.3,Normal,Drone 4,Stuck,1.2451,83099.7281,0.2147,10153.85,100.05,0,99.4,0.041936
69,0.3,Early,Drone 0,Success,2.0341,11331.5946,0.3023,9836.01,32.05,0,99.38,0.04245
69,0.3,Early,Drone 1,Success,2.2411,11979.7294,0.3523,9861.44,36.75,0,99.38,0.04245
69,0.3,Early,Drone 2,Success,1.5725,22251.9834,0.4983,9859.66,33.7,0,99.38,0.04245
69,0.3,Early,Drone 3,Success,1.9532,15347.7326,0.3354,9879.6,43.8,0,99.38,0.04245
69,0.3,Early,Drone 4,Stuck,1.9366,90507.4611,0.3297,10169.65,100.05,0,99.38,0.04245
