Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
3,0.3,Normal,Drone 0,Success,1.413,1646.3723,3.564,3074.48,30.1,0,99.56
3,0.3,Normal,Drone 1,Success,1.3764,2261.6221,3.9045,4253.29,41.9,0,99.56
3,0.3,Normal,Drone 2,Success,1.6115,2210.0606,3.9262,4274.92,41.8,0,99.56
3,0.3,Normal,Drone 3,Success,1.5042,1801.6113,3.9882,3320.83,32.6,0,99.56
3,0.3,Normal,Drone 4,Success,1.3842,1620.626,3.9646,3252.07,31.65,0,99.56
3,0.3,Early,Drone 0,Success,1.8795,1598.6804,3.5692,3680.29,25.7,0,99.5
3,0.3,Early,Drone 1,Success,1.9735,2136.4869,3.9133,3716.77,35.0,0,99.5
3,0.3,Early,Drone 2,Success,2.2,2179.7404,3.9347,3750.34,36.4,0,99.5
3,0.3,Early,Drone 3,Success,2.1443,1743.8839,3.997,3679.79,27.55,0,99.5
3,0.3,Early,Drone 4,Success,1.915,1538.0327,3.9761,3705.12,28.0,0,99.5
27,0.3,Normal,Drone 0,Success,1.4038,2321.5291,3.9588,3784.9,36.75,0,99.66
27,0.3,Normal,Drone 1,Success,1.2453,1966.0918,3.7004,3605.68,35.3,0,99.66
27,0.3,Normal,Drone 2,Success,1.525,2282.0989,3.9914,3620.79,35.65,0,99.66
27,0.3,Normal,Drone 3,Success,1.2839,1621.3095,4.0057,2938.69,28.95,0,99.66
27,0.3,Normal,Drone 4,Success,1.3203,2379.8297,3.8782,4340.53,42.3,0,99.66
27,0.3,Early,Drone 0,Success,2.0456,2327.1557,3.9701,3837.37,31.4,0,99.36
27,0.3,Early,Drone 1,Success,1.762,1952.5424,3.7106,3804.01,30.0,0,99.36
27,0.3,Early,Drone 2,Success,2.1623,2316.6434,3.9993,3776.22,29.3,0,99.36
27,0.3,Early,Drone 3,Success,1.9732,1634.2041,4.0175,3742.63,24.2,0,99.36
27,0.3,Early,Drone 4,Success,1.922,2527.6402,3.8911,3862.78,37.4,0,99.36
51,0.3,Normal,Drone 0,Success,1.0656,1467.2084,4.0061,3301.59,32.3,0,99.12
51,0.3,Normal,Drone 1,Success,1.1758,1892.6793,4.0047,3929.69,38.65,0,99.12
51,0.3,Normal,Drone 2,Success,1.4449,2397.7907,3.9214,4033.47,39.55,0,99.12
51,0.3,Normal,Drone 3,Success,1.423,1928.2964,3.6609,3097.18,30.45,0,99.12
51,0.3,Normal,Drone 4,Success,1.5642,2050.0434,3.8439,3549.84,34.7,0,99.12
51,0.3,Early,Drone 0,Success,1.74,1504.6264,4.0208,3401.62,28.1,0,99.01
51,0.3,Early,Drone 1,Success,1.7906,1772.1095,4.0159,3414.76,33.15,0,99.01
51,0.3,Early,Drone 2,Success,2.0631,2346.7973,3.929,3422.73,33.35,0,99.01
