Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Flight_Time_s,Coverage_pct
3,0.3,Normal,Drone 0,Success,1.413,1646.3723,3.564,30.1,99.56
3,0.3,Normal,Drone 1,Success,1.3764,2261.6221,3.9045,41.9,99.56
3,0.3,Normal,Drone 2,Success,1.6115,2210.0606,3.9262,41.8,99.56
3,0.3,Normal,Drone 3,Success,1.5042,1801.6113,3.9882,32.6,99.56
3,0.3,Normal,Drone 4,Success,1.3842,1620.626,3.9646,31.65,99.56
3,0.3,Early,Drone 0,Success,1.8795,1598.6804,3.5692,25.7,99.5
3,0.3,Early,Drone 1,Success,1.9735,2136.4869,3.9133,35.0,99.5
3,0.3,Early,Drone 2,Success,2.2,2179.7404,3.9347,36.4,99.5
3,0.3,Early,Drone 3,Success,2.1443,1743.8839,3.997,27.55,99.5
3,0.3,Early,Drone 4,Success,1.915,1538.0327,3.9761,28.0,99.5
27,0.3,Normal,Drone 0,Success,1.4038,2321.5291,3.9588,36.75,99.66
27,0.3,Normal,Drone 1,Success,1.2453,1966.0918,3.7004,35.3,99.66
27,0.3,Normal,Drone 2,Success,1.525,2282.0989,3.9914,35.65,99.66
27,0.3,Normal,Drone 3,Success,1.2839,1621.3095,4.0057,28.95,99.66
27,0.3,Normal,Drone 4,Success,1.3203,2379.8297,3.8782,42.3,99.66
27,0.3,Early,Drone 0,Success,2.0456,2327.1557,3.9701,31.4,99.36
27,0.3,Early,Drone 1,Success,1.762,1952.5424,3.7106,30.0,99.36
27,0.3,Early,Drone 2,Success,2.1623,2316.6434,3.9993,29.3,99.36
27,0.3,Early,Drone 3,Success,1.9732,1634.2041,4.0175,24.2,99.36
27,0.3,Early,Drone 4,Success,1.922,2527.6402,3.8911,37.4,99.36
51,0.3,Normal,Drone 0,Success,1.0656,1467.2084,4.0061,32.3,99.12
51,0.3,Normal,Drone 1,Success,1.1758,1892.6793,4.0047,38.65,99.12
51,0.3,Normal,Drone 2,Success,1.4449,2397.7907,3.9214,39.55,99.12
51,0.3,Normal,Drone 3,Success,1.423,1928.2964,3.6609,30.45,99.12
51,0.3,Normal,Drone 4,Success,1.5642,2050.0434,3.8439,34.7,99.12
51,0.3,Early,Drone 0,Success,1.74,1504.6264,4.0208,28.1,99.01
51,0.3,Early,Drone 1,Success,1.7906,1772.1095,4.0159,33.15,99.01
51,0.3,Early,Drone 2,Success,2.0631,2346.7973,3.929,33.35,99.01
51,0.3,Early,Drone 3,Success,1.9906,1904.2699,3.6651,25.1,99.01
51,0.3,Early,Drone 4,Success,2.2143,2092.0833,3.8524,30.0,99.01
13,0.3,Normal,Drone 0,Success,1.3912,2615.3333,3.8409,43.95,99.76
13,0.3,Normal,Drone 1,Success,1.4936,2106.3178,3.923,36.15,99.76
13,0.3,Normal,Drone 2,Success,1.2984,1780.9871,3.7358,31.95,99.76
13,0.3,Normal,Drone 3,Success,1.224,1929.0832,4.0018,38.65,99.76
13,0.3,Normal,Drone 4,Success,1.1646,1559.0648,4.0052,31.45,99.76
13,0.3,Early,Drone 0,Success,2.2277,2534.6435,3.8538,35.65,99.59
13,0.3,Early,Drone 1,Success,2.1251,2136.8303,3.9336,30.6,99.59
13,0.3,Early,Drone 2,Success,1.8329,1891.4276,3.7491,27.8,99.59
13,0.3,Early,Drone 3,Success,1.802,1947.1763,4.0153,33.2,99.59
13,0.3,Early,Drone 4,Success,1.7705,1559.8701,4.0159,27.2,99.59
93,0.3,Normal,Drone 0,Success,1.237,2340.6878,3.9538,44.5,98.37
93,0.3,Normal,Drone 1,Success,1.3886,2046.5006,3.6856,31.0,98.37
93,0.3,Normal,Drone 2,Success,1.2446,1269.4379,4.0021,25.9,98.37
93,0.3,Normal,Drone 3,Success,1.2857,2028.3756,4.005,34.5,98.37
93,0.3,Normal,Drone 4,Success,1.3725,2347.1144,3.9519,40.45,98.37
93,0.3,Early,Drone 0,Success,1.8608,2316.5848,3.968,37.8,98.22
93,0.3,Early,Drone 1,Success,1.9779,2086.7352,3.7074,25.25,98.22
93,0.3,Early,Drone 2,Success,1.9255,1347.3887,4.0137,21.95,98.22
93,0.3,Early,Drone 3,Success,2.0594,2038.5019,4.0168,28.35,98.22
93,0.3,Early,Drone 4,Success,2.0239,2519.1895,3.963,33.65,98.22
42,0.3,Normal,Drone 0,Success,1.2744,1999.571,3.6659,38.75,99.17
42,0.3,Normal,Drone 1,Success,1.4677,2130.7366,3.8919,38.25,99.17
42,0.3,Normal,Drone 2,Success,1.1404,2095.8298,4.0066,37.5,99.17
42,0.3,Normal,Drone 3,Success,1.5463,2183.3532,3.8188,35.2,99.17
42,0.3,Normal,Drone 4,Success,1.2987,1570.7106,4.0036,29.3,99.17
42,0.3,Early,Drone 0,Success,1.7995,1934.0895,3.6764,32.4,98.73
42,0.3,Early,Drone 1,Success,2.0973,2079.7096,3.9009,32.05,98.73
42,0.3,Early,Drone 2,Success,1.8111,2075.8122,4.0172,32.2,98.73
42,0.3,Early,Drone 3,Success,2.1886,2066.3994,3.8279,30.3,98.73
42,0.3,Early,Drone 4,Success,2.0901,1533.4546,4.0143,24.55,98.73
84,0.3,Normal,Drone 0,Success,1.3286,2085.4421,3.8894,39.55,99.76
84,0.3,Normal,Drone 1,Success,1.2135,1617.3086,4.003,31.3,99.76
84,0.3,Normal,Drone 2,Success,1.4028,2291.6257,3.946,39.75,99.76
84,0.3,Normal,Drone 3,Success,1.3562,1329.813,3.7469,28.8,99.76
