Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Flight_Time_s,Coverage_pct
3,0.3,Normal,Drone 0,Success,1.2733,2413.5151,3.7693,39.8,98.93
3,0.3,Normal,Drone 1,Success,1.2529,1863.9716,3.8002,35.8,98.93
3,0.3,Normal,Drone 2,Success,1.5478,2533.4534,3.8745,38.95,98.93
3,0.3,Normal,Drone 3,Success,1.4791,1806.5804,3.8918,32.6,98.93
3,0.3,Normal,Drone 4,Success,1.1419,1705.9022,4.0053,31.25,98.93
3,0.3,Early,Drone 0,Success,1.8695,2468.271,3.7706,37.8,98.83
3,0.3,Early,Drone 1,Success,1.4317,1862.8826,3.8032,34.15,98.83
3,0.3,Early,Drone 2,Success,1.7627,2576.9648,3.8769,37.1,98.83
3,0.3,Early,Drone 3,Success,1.6472,1807.3861,3.8937,31.45,98.83
3,0.3,Early,Drone 4,Success,1.3277,1717.2825,4.0073,30.1,98.83
27,0.3,Normal,Drone 0,Success,1.3256,1883.5535,4.0006,34.4,99.26
27,0.3,Normal,Drone 1,Success,1.2275,2063.3065,4.0053,35.55,99.26
27,0.3,Normal,Drone 2,Success,1.2771,1785.4357,3.6688,30.7,99.26
27,0.3,Normal,Drone 3,Success,1.1202,2067.2303,4.0076,38.2,99.26
27,0.3,Normal,Drone 4,Success,1.2265,2468.5586,4.0042,40.3,99.26
27,0.3,Early,Drone 0,Success,1.572,1872.6247,4.0027,32.75,99.2
27,0.3,Early,Drone 1,Success,1.4684,2072.3958,4.0074,34.0,99.2
27,0.3,Early,Drone 2,Success,1.4308,1788.4121,3.6711,29.25,99.2
27,0.3,Early,Drone 3,Success,1.3063,2068.985,4.0104,36.75,99.2
27,0.3,Early,Drone 4,Success,1.4867,2473.0855,4.0063,38.8,99.2
51,0.3,Normal,Drone 0,Success,1.4381,1600.7306,3.9916,28.0,99.28
51,0.3,Normal,Drone 1,Success,1.7535,2119.864,3.8718,37.95,99.28
51,0.3,Normal,Drone 2,Success,1.2713,2596.5348,3.8008,44.75,99.28
51,0.3,Normal,Drone 3,Success,1.3806,1535.851,3.6981,28.0,99.28
51,0.3,Normal,Drone 4,Success,1.6767,2254.4203,3.8287,38.3,99.28
51,0.3,Early,Drone 0,Success,1.5806,1625.4778,3.9938,27.25,99.33
51,0.3,Early,Drone 1,Success,1.9077,2112.6635,3.8752,36.35,99.33
51,0.3,Early,Drone 2,Success,1.5275,2585.9351,3.801,42.5,99.33
51,0.3,Early,Drone 3,Success,1.5291,1524.9129,3.6999,26.95,99.33
51,0.3,Early,Drone 4,Success,1.8713,2252.7244,3.8305,36.7,99.33
13,0.3,Normal,Drone 0,Success,1.5328,1398.537,3.6789,25.15,99.76
13,0.3,Normal,Drone 1,Success,1.1195,1992.6636,4.0054,37.45,99.76
13,0.3,Normal,Drone 2,Success,1.3595,2469.4789,3.884,46.65,99.76
13,0.3,Normal,Drone 3,Success,1.2788,2409.2272,3.8038,41.75,99.76
13,0.3,Normal,Drone 4,Success,1.2398,1604.68,4.0036,27.6,99.76
13,0.3,Early,Drone 0,Success,1.7276,1387.3048,3.6796,24.1,99.73
13,0.3,Early,Drone 1,Success,1.3505,2007.5604,4.0086,35.75,99.73
13,0.3,Early,Drone 2,Success,1.5333,2492.9918,3.8868,44.95,99.73
13,0.3,Early,Drone 3,Success,1.7099,2411.4914,3.8061,39.95,99.73
13,0.3,Early,Drone 4,Success,1.4361,1612.8893,4.0056,26.65,99.73
93,0.3,Normal,Drone 0,Success,1.4143,2939.3081,3.8688,43.95,98.66
93,0.3,Normal,Drone 1,Success,1.1181,1930.3397,3.7278,34.75,98.66
93,0.3,Normal,Drone 2,Success,1.5556,1544.0859,3.9343,27.4,98.66
93,0.3,Normal,Drone 3,Success,1.5133,1638.708,4.0013,27.6,98.66
93,0.3,Normal,Drone 4,Success,1.5694,2465.3697,3.7688,41.1,98.66
93,0.3,Early,Drone 0,Success,1.6477,2989.4305,3.8706,42.0,96.87
93,0.3,Early,Drone 1,Stuck,1.4127,15220.5769,4.5977,100.05,96.87
93,0.3,Early,Drone 2,Success,1.6984,1559.1079,3.9367,26.45,96.87
93,0.3,Early,Drone 3,Success,1.7343,1646.1342,4.0025,26.5,96.87
93,0.3,Early,Drone 4,Success,1.7641,2419.4784,3.7538,39.05,96.87
42,0.3,Normal,Drone 0,Success,1.2104,2543.5566,3.7951,45.4,99.66
42,0.3,Normal,Drone 1,Success,1.5415,1170.285,3.5981,22.95,99.66
42,0.3,Normal,Drone 2,Success,1.3106,2007.6784,4.0032,32.9,99.66
42,0.3,Normal,Drone 3,Success,1.3388,2038.3225,3.8425,38.35,99.66
42,0.3,Normal,Drone 4,Success,1.7391,2181.1005,3.7962,37.05,99.66
42,0.3,Early,Drone 0,Success,1.4153,2540.066,3.7973,43.3,99.62
42,0.3,Early,Drone 1,Success,1.6957,1143.5561,3.5987,22.2,99.62
42,0.3,Early,Drone 2,Success,1.5411,2025.1827,4.0055,31.6,99.62
42,0.3,Early,Drone 3,Success,1.5475,2062.0931,3.8454,36.6,99.62
42,0.3,Early,Drone 4,Success,1.9464,2207.2286,3.7973,35.3,99.62
84,0.3,Normal,Drone 0,Success,1.392,2440.0674,3.886,40.15,99.67
84,0.3,Normal,Drone 1,Success,1.0498,1357.0145,4.0061,28.45,99.67
84,0.3,Normal,Drone 2,Success,1.1591,1492.2628,3.7215,32.65,99.67
84,0.3,Normal,Drone 3,Success,1.3578,2287.4933,3.9168,41.5,99.67
84,0.3,Normal,Drone 4,Success,1.3685,2013.8326,3.9954,36.7,99.67
84,0.3,Early,Drone 0,Success,1.6378,2483.1328,3.8883,38.5,99.62
84,0.3,Early,Drone 1,Success,1.2269,1369.4606,4.0094,27.45,99.62
84,0.3,Early,Drone 2,Success,1.3339,1472.3556,3.7242,31.55,99.62
84,0.3,Early,Drone 3,Success,1.529,2247.2698,3.9193,39.8,99.62
84,0.3,Early,Drone 4,Success,1.5471,2009.753,3.9979,35.4,99.62
79,0.3,Normal,Drone 0,Success,0.9831,1567.4093,3.7192,32.6,99.27
79,0.3,Normal,Drone 1,Success,1.4646,2365.9225,3.8343,37.05,99.27
79,0.3,Normal,Drone 2,Success,1.3029,2101.7303,3.9502,39.2,99.27
79,0.3,Normal,Drone 3,Success,1.3715,1226.8771,4.0,24.1,99.27
79,0.3,Normal,Drone 4,Success,1.3083,2890.2357,3.9937,49.2,99.27
79,0.3,Early,Drone 0,Success,1.1179,1594.9689,3.7221,31.45,84.93
79,0.3,Early,Drone 1,Stuck,2.8883,16680.1602,8.9525,100.05,84.93
79,0.3,Early,Drone 2,Success,1.4681,2068.3206,3.9535,37.45,84.93
79,0.3,Early,Drone 3,Success,1.608,1228.9343,4.0018,23.5,84.93
79,0.3,Early,Drone 4,Success,1.5001,2931.7813,3.9964,47.05,84.93
32,0.3,Normal,Drone 0,Success,1.5081,1861.3631,3.9101,33.15,99.27
32,0.3,Normal,Drone 1,Success,1.2103,2323.056,3.7868,43.15,99.27
32,0.3,Normal,Drone 2,Success,1.6606,2121.9027,3.8489,31.9,99.27
32,0.3,Normal,Drone 3,Success,1.1414,1806.024,4.0055,35.5,99.27
32,0.3,Normal,Drone 4,Success,1.5438,1908.382,3.8284,31.3,99.27
32,0.3,Early,Drone 0,Success,1.689,1877.1391,3.9118,31.95,77.66
32,0.3,Early,Drone 1,Stuck,0.975,18792.3822,13.8667,100.05,77.66
32,0.3,Early,Drone 2,Success,1.8831,2143.9466,3.8501,30.5,77.66
32,0.3,Early,Drone 3,Success,1.3345,1791.9481,4.0083,34.25,77.66
32,0.3,Early,Drone 4,Success,1.752,1902.4302,3.83,29.85,77.66
25,0.3,Normal,Drone 0,Success,1.4066,2670.7716,3.8064,42.55,97.48
25,0.3,Normal,Drone 1,Success,1.5157,1397.1242,3.8812,29.45,97.48
25,0.3,Normal,Drone 2,Success,1.4418,2083.7006,3.7854,34.1,97.48
25,0.3,Normal,Drone 3,Success,1.3308,1799.7738,4.0028,28.45,97.48
25,0.3,Normal,Drone 4,Stuck,1.159,1788.3285,4.6382,44.75,97.48
25,0.3,Early,Drone 0,Success,1.6286,2724.4261,3.8085,40.2,98.13
25,0.3,Early,Drone 1,Success,1.6855,1426.659,3.8844,28.5,98.13
25,0.3,Early,Drone 2,Success,1.626,2104.3212,3.7872,32.75,98.13
25,0.3,Early,Drone 3,Success,1.523,1799.5269,4.0051,27.45,98.13
25,0.3,Early,Drone 4,Stuck,1.4283,7834.4155,4.5804,100.05,98.13
33,0.3,Normal,Drone 0,Success,1.6475,1340.782,3.8206,24.5,99.22
33,0.3,Normal,Drone 1,Success,1.1588,2509.4993,3.7951,44.5,99.22
33,0.3,Normal,Drone 2,Success,1.3755,2221.8763,3.979,41.2,99.22
33,0.3,Normal,Drone 3,Success,1.4675,1689.1803,3.9413,29.9,99.22
