Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Flight_Time_s,Coverage_pct
3,0.3,Normal,Drone 0,Success,1.2733,2413.5151,3.7693,39.8,98.93
3,0.3,Normal,Drone 1,Success,1.2529,1863.9716,3.8002,35.8,98.93
3,0.3,Normal,Drone 2,Success,1.5478,2533.4534,3.8745,38.95,98.93
3,0.3,Normal,Drone 3,Success,1.4791,1806.5804,3.8918,32.6,98.93
3,0.3,Normal,Drone 4,Success,1.1419,1705.9022,4.0053,31.25,98.93
3,0.3,Early,Drone 0,Success,2.1188,2455.2948,3.7626,32.45,98.64
3,0.3,Early,Drone 1,Success,1.8323,1845.0778,3.8134,29.85,98.64
3,0.3,Early,Drone 2,Success,2.2741,2569.484,3.8835,32.7,98.64
3,0.3,Early,Drone 3,Success,2.035,1816.2684,3.9006,28.2,98.64
3,0.3,Early,Drone 4,Success,1.7499,1698.8952,4.016,26.6,98.64
27,0.3,Normal,Drone 0,Success,1.3256,1883.5535,4.0006,34.4,99.26
27,0.3,Normal,Drone 1,Success,1.2275,2063.3065,4.0053,35.55,99.26
27,0.3,Normal,Drone 2,Success,1.2771,1785.4357,3.6688,30.7,99.26
27,0.3,Normal,Drone 3,Success,1.1202,2067.2303,4.0076,38.2,99.26
27,0.3,Normal,Drone 4,Success,1.2265,2468.5586,4.0042,40.3,99.26
27,0.3,Early,Drone 0,Success,1.9871,1785.0771,4.0074,29.3,98.96
27,0.3,Early,Drone 1,Success,1.9166,2040.8363,4.0141,30.55,98.96
27,0.3,Early,Drone 2,Success,1.7788,1744.2641,3.6777,25.6,98.96
27,0.3,Early,Drone 3,Success,2.0939,2034.4916,4.0179,32.8,98.96
27,0.3,Early,Drone 4,Success,1.997,2377.9697,4.0115,34.9,98.96
51,0.3,Normal,Drone 0,Success,1.4381,1600.7306,3.9916,28.0,99.28
51,0.3,Normal,Drone 1,Success,1.7535,2119.864,3.8718,37.95,99.28
51,0.3,Normal,Drone 2,Success,1.2713,2596.5348,3.8008,44.75,99.28
51,0.3,Normal,Drone 3,Success,1.3806,1535.851,3.6981,28.0,99.28
51,0.3,Normal,Drone 4,Success,1.6767,2254.4203,3.8287,38.3,99.28
51,0.3,Early,Drone 0,Success,2.0924,1680.2904,3.9998,24.3,99.32
51,0.3,Early,Drone 1,Success,1.9923,2086.7032,3.8832,32.15,99.32
51,0.3,Early,Drone 2,Success,2.0296,2376.6159,3.7831,37.4,99.32
51,0.3,Early,Drone 3,Success,1.9602,1513.2858,3.7075,23.45,99.32
51,0.3,Early,Drone 4,Success,2.2663,2193.9435,3.8364,32.7,99.32
13,0.3,Normal,Drone 0,Success,1.5328,1398.537,3.6789,25.15,99.76
13,0.3,Normal,Drone 1,Success,1.1195,1992.6636,4.0054,37.45,99.76
13,0.3,Normal,Drone 2,Success,1.3595,2469.4789,3.884,46.65,99.76
13,0.3,Normal,Drone 3,Success,1.2788,2409.2272,3.8038,41.75,99.76
13,0.3,Normal,Drone 4,Success,1.2398,1604.68,4.0036,27.6,99.76
13,0.3,Early,Drone 0,Success,2.1485,1326.9098,3.6821,20.7,99.65
13,0.3,Early,Drone 1,Success,1.8134,1957.0641,4.0159,31.95,99.65
13,0.3,Early,Drone 2,Success,1.9629,2462.3676,3.8953,40.8,99.65
13,0.3,Early,Drone 3,Success,2.0343,2329.1863,3.8122,35.95,99.65
13,0.3,Early,Drone 4,Success,2.0106,1563.0318,4.0113,23.65,99.65
93,0.3,Normal,Drone 0,Success,1.4143,2939.3081,3.8688,43.95,98.66
93,0.3,Normal,Drone 1,Success,1.1181,1930.3397,3.7278,34.75,98.66
93,0.3,Normal,Drone 2,Success,1.5556,1544.0859,3.9343,27.4,98.66
93,0.3,Normal,Drone 3,Success,1.5133,1638.708,4.0013,27.6,98.66
93,0.3,Normal,Drone 4,Success,1.5694,2465.3697,3.7688,41.1,98.66
93,0.3,Early,Drone 0,Success,2.0979,3033.1246,3.8769,37.4,98.7
93,0.3,Early,Drone 1,Success,1.7709,2011.4876,3.7352,29.9,98.7
93,0.3,Early,Drone 2,Success,2.1543,1583.5283,3.9446,23.05,98.7
93,0.3,Early,Drone 3,Success,2.2859,1585.2945,4.0073,23.05,98.7
93,0.3,Early,Drone 4,Success,2.3695,2185.5838,3.7167,33.15,98.7
42,0.3,Normal,Drone 0,Success,1.2104,2543.5566,3.7951,45.4,99.66
42,0.3,Normal,Drone 1,Success,1.5415,1170.285,3.5981,22.95,99.66
42,0.3,Normal,Drone 2,Success,1.3106,2007.6784,4.0032,32.9,99.66
42,0.3,Normal,Drone 3,Success,1.3388,2038.3225,3.8425,38.35,99.66
42,0.3,Normal,Drone 4,Success,1.7391,2181.1005,3.7962,37.05,99.66
42,0.3,Early,Drone 0,Success,1.9291,2498.2508,3.7644,38.6,99.42
42,0.3,Early,Drone 1,Success,2.1583,1077.9607,3.6024,19.25,99.42
42,0.3,Early,Drone 2,Success,2.0569,2019.2765,4.0128,28.05,99.42
42,0.3,Early,Drone 3,Success,1.9816,2103.8121,3.8536,32.2,99.42
42,0.3,Early,Drone 4,Success,2.4177,2171.9199,3.7977,31.1,99.42
84,0.3,Normal,Drone 0,Success,1.392,2440.0674,3.886,40.15,99.67
84,0.3,Normal,Drone 1,Success,1.0498,1357.0145,4.0061,28.45,99.67
84,0.3,Normal,Drone 2,Success,1.1591,1492.2628,3.7215,32.65,99.67
84,0.3,Normal,Drone 3,Success,1.3578,2287.4933,3.9168,41.5,99.67
84,0.3,Normal,Drone 4,Success,1.3685,2013.8326,3.9954,36.7,99.67
84,0.3,Early,Drone 0,Success,2.0877,2494.2147,3.8945,34.55,99.47
84,0.3,Early,Drone 1,Success,1.7354,1400.3971,4.0208,24.3,99.47
84,0.3,Early,Drone 2,Success,1.9177,1490.2571,3.7353,28.35,99.47
84,0.3,Early,Drone 3,Success,1.9707,2151.2721,3.9257,35.55,99.47
84,0.3,Early,Drone 4,Success,2.0265,2010.8018,4.0057,31.45,99.47
79,0.3,Normal,Drone 0,Success,0.9831,1567.4093,3.7192,32.6,99.27
79,0.3,Normal,Drone 1,Success,1.4646,2365.9225,3.8343,37.05,99.27
79,0.3,Normal,Drone 2,Success,1.3029,2101.7303,3.9502,39.2,99.27
79,0.3,Normal,Drone 3,Success,1.3715,1226.8771,4.0,24.1,99.27
79,0.3,Normal,Drone 4,Success,1.3083,2890.2357,3.9937,49.2,99.27
79,0.3,Early,Drone 0,Success,1.4532,1653.838,3.732,27.75,99.03
79,0.3,Early,Drone 1,Success,2.0646,2418.1216,3.8445,31.7,99.03
79,0.3,Early,Drone 2,Success,1.8595,1977.1395,3.9624,33.05,99.03
79,0.3,Early,Drone 3,Success,2.1515,1218.1291,4.0071,20.95,99.03
79,0.3,Early,Drone 4,Success,1.9828,2883.7942,4.0062,41.3,99.03
32,0.3,Normal,Drone 0,Success,1.5081,1861.3631,3.9101,33.15,99.27
32,0.3,Normal,Drone 1,Success,1.2103,2323.056,3.7868,43.15,99.27
32,0.3,Normal,Drone 2,Success,1.6606,2121.9027,3.8489,31.9,99.27
32,0.3,Normal,Drone 3,Success,1.1414,1806.024,4.0055,35.5,99.27
32,0.3,Normal,Drone 4,Success,1.5438,1908.382,3.8284,31.3,99.27
32,0.3,Early,Drone 0,Success,2.109,1811.3317,3.9177,28.8,99.09
32,0.3,Early,Drone 1,Success,1.808,2333.7021,3.8112,37.25,99.09
32,0.3,Early,Drone 2,Success,2.4249,2154.2197,3.8531,26.6,99.09
32,0.3,Early,Drone 3,Success,1.7554,1796.2442,4.019,30.55,99.09
32,0.3,Early,Drone 4,Success,2.2475,1871.2666,3.8348,25.85,99.09
25,0.3,Normal,Drone 0,Success,1.4066,2670.7716,3.8064,42.55,97.48
25,0.3,Normal,Drone 1,Success,1.5157,1397.1242,3.8812,29.45,97.48
25,0.3,Normal,Drone 2,Success,1.4418,2083.7006,3.7854,34.1,97.48
25,0.3,Normal,Drone 3,Success,1.3308,1799.7738,4.0028,28.45,97.48
25,0.3,Normal,Drone 4,Stuck,1.159,1788.3285,4.6382,44.75,97.48
25,0.3,Early,Drone 0,Success,2.1414,2693.5701,3.8148,35.25,99.6
25,0.3,Early,Drone 1,Success,2.0913,1427.3617,3.8937,25.65,99.6
25,0.3,Early,Drone 2,Success,2.0757,2123.3221,3.7931,29.1,99.6
25,0.3,Early,Drone 3,Success,2.0457,1790.7112,4.0118,24.3,99.6
25,0.3,Early,Drone 4,Success,1.942,2201.3096,3.8804,34.9,99.6
33,0.3,Normal,Drone 0,Success,1.6475,1340.782,3.8206,24.5,99.22
33,0.3,Normal,Drone 1,Success,1.1588,2509.4993,3.7951,44.5,99.22
33,0.3,Normal,Drone 2,Success,1.3755,2221.8763,3.979,41.2,99.22
33,0.3,Normal,Drone 3,Success,1.4675,1689.1803,3.9413,29.9,99.22
