 "Map_Seed", "Overlap_Factor", "Algorithm", "Drone_ID", "Final_State", "Speed_m_s", "Jerk_m2_s5", "Miss_Distance_m", "Flight_Time_s",  "Coverage_pct"
3,0.3,Normal,Drone 0,Success,1.2733,2413.5151,3.7693,39.8,98.93
3,0.3,Normal,Drone 1,Success,1.2529,1863.9716,3.8002,35.8,98.93
3,0.3,Normal,Drone 2,Success,1.5478,2533.4534,3.8745,38.95,98.93
3,0.3,Normal,Drone 3,Success,1.4791,1806.5804,3.8918,32.6,98.93
3,0.3,Normal,Drone 4,Success,1.1419,1705.9022,4.0053,31.25,98.93
3,0.3,Early,Drone 0,Stuck,1.7003,12405.3403,4.2093,100.05,97.83
3,0.3,Early,Drone 1,Success,1.5304,1862.5418,3.8052,33.35,97.83
3,0.3,Early,Drone 2,Success,1.8918,2585.4407,3.8786,36.15,97.83
3,0.3,Early,Drone 3,Success,1.7699,1814.3448,3.8953,30.65,97.83
3,0.3,Early,Drone 4,Success,1.4236,1704.9073,4.009,29.5,97.83
27,0.3,Normal,Drone 0,Success,1.3256,1883.5535,4.0006,34.4,99.26
27,0.3,Normal,Drone 1,Success,1.2275,2063.3065,4.0053,35.55,99.26
27,0.3,Normal,Drone 2,Success,1.2771,1785.4357,3.6688,30.7,99.26
27,0.3,Normal,Drone 3,Success,1.1202,2067.2303,4.0076,38.2,99.26
27,0.3,Normal,Drone 4,Success,1.2265,2468.5586,4.0042,40.3,99.26
27,0.3,Early,Drone 0,Success,1.6873,1858.8002,4.0038,32.1,96.1
27,0.3,Early,Drone 1,Success,1.6031,2060.7249,4.0086,33.2,96.1
27,0.3,Early,Drone 2,Stuck,1.6843,18863.3876,6.4454,100.05,96.1
27,0.3,Early,Drone 3,Success,1.4362,2072.28,4.0128,35.7,96.1
27,0.3,Early,Drone 4,Success,1.6351,2477.4043,4.0079,37.8,96.1
51,0.3,Normal,Drone 0,Success,1.4381,1600.7306,3.9916,28.0,99.28
51,0.3,Normal,Drone 1,Success,1.7535,2119.864,3.8718,37.95,99.28
51,0.3,Normal,Drone 2,Success,1.2713,2596.5348,3.8008,44.75,99.28
51,0.3,Normal,Drone 3,Success,1.3806,1535.851,3.6981,28.0,99.28
51,0.3,Normal,Drone 4,Success,1.6767,2254.4203,3.8287,38.3,99.28
51,0.3,Early,Drone 0,Success,1.7257,1641.2198,3.9953,26.75,98.79
51,0.3,Early,Drone 1,Success,1.6527,2108.2999,3.8771,35.5,98.79
51,0.3,Early,Drone 2,Success,1.69,2556.4971,3.7924,41.35,98.79
51,0.3,Early,Drone 3,Success,1.6424,1514.8653,3.7014,26.3,98.79
51,0.3,Early,Drone 4,Stuck,1.7794,16366.6845,4.3169,100.05,98.79
13,0.3,Normal,Drone 0,Success,1.5328,1398.537,3.6789,25.15,99.76
13,0.3,Normal,Drone 1,Success,1.1195,1992.6636,4.0054,37.45,99.76
13,0.3,Normal,Drone 2,Success,1.3595,2469.4789,3.884,46.65,99.76
13,0.3,Normal,Drone 3,Success,1.2788,2409.2272,3.8038,41.75,99.76
13,0.3,Normal,Drone 4,Success,1.2398,1604.68,4.0036,27.6,99.76
13,0.3,Early,Drone 0,Success,1.8308,1370.9067,3.6798,23.45,99.7
13,0.3,Early,Drone 1,Success,1.4793,2003.4539,4.0106,34.95,99.7
13,0.3,Early,Drone 2,Success,1.6808,2484.3277,3.8893,43.8,99.7
13,0.3,Early,Drone 3,Success,1.8223,2394.9919,3.8077,38.9,99.7
13,0.3,Early,Drone 4,Success,1.5833,1607.1543,4.0069,26.1,99.7
93,0.3,Normal,Drone 0,Success,1.4143,2939.3081,3.8688,43.95,98.66
93,0.3,Normal,Drone 1,Success,1.1181,1930.3397,3.7278,34.75,98.66
93,0.3,Normal,Drone 2,Success,1.5556,1544.0859,3.9343,27.4,98.66
93,0.3,Normal,Drone 3,Success,1.5133,1638.708,4.0013,27.6,98.66
93,0.3,Normal,Drone 4,Success,1.5694,2465.3697,3.7688,41.1,98.66
93,0.3,Early,Drone 0,Success,1.7848,3013.5883,3.8719,40.8,96.88
93,0.3,Early,Drone 1,Stuck,1.5269,17125.3786,4.6016,100.05,96.88
93,0.3,Early,Drone 2,Success,1.8087,1566.231,3.939,25.85,96.88
93,0.3,Early,Drone 3,Success,1.8989,1643.3738,4.0038,25.85,96.88
93,0.3,Early,Drone 4,Success,1.9174,2377.1289,3.7358,37.95,96.88
42,0.3,Normal,Drone 0,Success,1.2104,2543.5566,3.7951,45.4,99.66
42,0.3,Normal,Drone 1,Success,1.5415,1170.285,3.5981,22.95,99.66
42,0.3,Normal,Drone 2,Success,1.3106,2007.6784,4.0032,32.9,99.66
42,0.3,Normal,Drone 3,Success,1.3388,2038.3225,3.8425,38.35,99.66
42,0.3,Normal,Drone 4,Success,1.7391,2181.1005,3.7962,37.05,99.66
42,0.3,Early,Drone 0,Stuck,2.2081,19430.3941,12.8643,100.05,79.25
42,0.3,Early,Drone 1,Success,1.8117,1125.7385,3.5989,21.75,79.25
42,0.3,Early,Drone 2,Success,1.6524,2021.7475,4.007,30.95,79.25
42,0.3,Early,Drone 3,Success,1.6497,2077.1044,3.8476,35.65,79.25
42,0.3,Early,Drone 4,Success,2.0537,2205.2281,3.7981,34.25,79.25
84,0.3,Normal,Drone 0,Success,1.392,2440.0674,3.886,40.15,99.67
84,0.3,Normal,Drone 1,Success,1.0498,1357.0145,4.0061,28.45,99.67
84,0.3,Normal,Drone 2,Success,1.1591,1492.2628,3.7215,32.65,99.67
84,0.3,Normal,Drone 3,Success,1.3578,2287.4933,3.9168,41.5,99.67
84,0.3,Normal,Drone 4,Success,1.3685,2013.8326,3.9954,36.7,99.67
84,0.3,Early,Drone 0,Success,1.7289,2496.9934,3.8897,37.65,99.56
84,0.3,Early,Drone 1,Success,1.3724,1373.5655,4.012,26.85,99.56
84,0.3,Early,Drone 2,Success,1.7198,1476.4088,3.7262,31.0,99.56
84,0.3,Early,Drone 3,Success,1.6772,2225.5025,3.9212,38.75,99.56
84,0.3,Early,Drone 4,Success,1.6845,2006.8013,3.9999,34.6,99.56
79,0.3,Normal,Drone 0,Success,0.9831,1567.4093,3.7192,32.6,99.27
79,0.3,Normal,Drone 1,Success,1.4646,2365.9225,3.8343,37.05,99.27
79,0.3,Normal,Drone 2,Success,1.3029,2101.7303,3.9502,39.2,99.27
79,0.3,Normal,Drone 3,Success,1.3715,1226.8771,4.0,24.1,99.27
79,0.3,Normal,Drone 4,Success,1.3083,2890.2357,3.9937,49.2,99.27
79,0.3,Early,Drone 0,Success,1.1937,1609.6035,3.7241,30.8,69.56
79,0.3,Early,Drone 1,Stuck,2.9063,18145.4145,8.9494,100.05,69.56
79,0.3,Early,Drone 2,Success,1.5871,2044.2649,3.9562,36.5,69.56
79,0.3,Early,Drone 3,Success,1.7332,1222.0859,4.0031,23.15,69.56
79,0.3,Early,Drone 4,Stuck,2.9262,15757.408,10.5254,100.05,69.56
32,0.3,Normal,Drone 0,Success,1.5081,1861.3631,3.9101,33.15,99.27
32,0.3,Normal,Drone 1,Success,1.2103,2323.056,3.7868,43.15,99.27
32,0.3,Normal,Drone 2,Success,1.6606,2121.9027,3.8489,31.9,99.27
32,0.3,Normal,Drone 3,Success,1.1414,1806.024,4.0055,35.5,99.27
32,0.3,Normal,Drone 4,Success,1.5438,1908.382,3.8284,31.3,99.27
32,0.3,Early,Drone 0,Success,1.8346,1875.1093,3.913,31.35,77.65
32,0.3,Early,Drone 1,Stuck,1.263,20597.5793,13.829,100.05,77.65
32,0.3,Early,Drone 2,Success,2.0215,2144.5786,3.8506,29.75,77.65
32,0.3,Early,Drone 3,Success,1.4739,1785.7471,4.0107,33.45,77.65
32,0.3,Early,Drone 4,Success,1.8778,1902.2777,3.831,29.05,77.65
25,0.3,Normal,Drone 0,Success,1.4066,2670.7716,3.8064,42.55,97.48
25,0.3,Normal,Drone 1,Success,1.5157,1397.1242,3.8812,29.45,97.48
25,0.3,Normal,Drone 2,Success,1.4418,2083.7006,3.7854,34.1,97.48
25,0.3,Normal,Drone 3,Success,1.3308,1799.7738,4.0028,28.45,97.48
25,0.3,Normal,Drone 4,Stuck,1.159,1788.3285,4.6382,44.75,97.48
25,0.3,Early,Drone 0,Stuck,0.7018,18693.8147,11.8688,100.05,78.1
25,0.3,Early,Drone 1,Success,1.7738,1434.631,3.8866,28.05,78.1
25,0.3,Early,Drone 2,Success,1.742,2113.4387,3.7886,32.1,78.1
25,0.3,Early,Drone 3,Success,1.6647,1796.4208,4.0067,26.9,78.1
25,0.3,Early,Drone 4,Stuck,1.4964,8909.2467,4.5598,100.05,78.1
33,0.3,Normal,Drone 0,Success,1.6475,1340.782,3.8206,24.5,99.22
33,0.3,Normal,Drone 1,Success,1.1588,2509.4993,3.7951,44.5,99.22
33,0.3,Normal,Drone 2,Success,1.3755,2221.8763,3.979,41.2,99.22
