Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct,Solve_Time
26,0.3,Normal,Drone 0,Success,1.1844,2203.4457,0.2272,3987.7,39.05,0,99.44,0.015709
26,0.3,Normal,Drone 1,Success,1.1169,1478.8447,0.2701,3011.38,29.3,0,99.44,0.015709
26,0.3,Normal,Drone 2,Success,1.4159,1742.0911,0.2411,3405.0,33.4,0,99.44,0.015709
26,0.3,Normal,Drone 3,Success,1.2624,2377.8105,0.2391,4323.43,42.3,0,99.44,0.015709
26,0.3,Normal,Drone 4,Success,1.3654,1914.9102,0.2116,3546.52,34.9,0,99.44,0.015709
26,0.3,Early,Drone 0,Success,1.9129,2087.2106,0.3257,3871.35,34.55,0,99.34,0.016644
26,0.3,Early,Drone 1,Success,1.848,1533.6153,0.4086,3838.28,26.6,0,99.34,0.016644
26,0.3,Early,Drone 2,Success,1.8454,1596.5315,0.3784,3831.66,29.45,0,99.34,0.016644
26,0.3,Early,Drone 3,Success,1.8026,2398.0741,0.3909,3901.35,37.9,0,99.34,0.016644
26,0.3,Early,Drone 4,Success,2.0688,1800.761,0.325,3822.15,30.9,0,99.34,0.016644
64,0.3,Normal,Drone 0,Success,1.3857,1514.7914,0.2913,3556.61,34.8,0,99.46,0.017591
64,0.3,Normal,Drone 1,Success,1.524,2312.63,0.2122,4049.25,39.85,0,99.46,0.017591
64,0.3,Normal,Drone 2,Success,1.2455,2629.9761,0.2373,4685.21,45.95,0,99.46,0.017591
64,0.3,Normal,Drone 3,Success,1.206,1632.4547,0.2083,3243.19,31.7,0,99.46,0.017591
64,0.3,Normal,Drone 4,Success,1.2849,1565.6749,0.2289,2831.01,27.7,0,99.46,0.017591
64,0.3,Early,Drone 0,Success,1.6725,1390.0155,0.4683,4055.62,30.8,0,99.26,0.025252
64,0.3,Early,Drone 1,Success,2.1511,2288.083,0.3206,4054.11,34.35,0,99.26,0.025252
64,0.3,Early,Drone 2,Success,1.8701,2694.7756,0.3791,4101.19,40.0,0,99.26,0.025252
64,0.3,Early,Drone 3,Success,1.8178,1559.5709,0.3055,4035.25,28.65,0,99.26,0.025252
64,0.3,Early,Drone 4,Success,1.9919,1570.9471,0.3897,4008.92,24.45,0,99.26,0.025252
